Year ending,Local Government Area,Output Year,Year ending,Latitude (generated),Longitude (generated),Alleged Offender Incident Rate,Alleged Offender Incidents,Criminial Incident Rate,Family Incident Count,Family Incident Rate,Incidents Recorded,Offence Count,Offence Rate,Victim Reports,Victimisation Rate
June, Loddon,2022,June,-36.3998,143.8945,"2,604.1",201,"4,871.4",121,"1,567.7",376,506,"6,555.6",205,"2,655.9"
June, Latrobe,2022,June,-38.2537,146.4552,"6,160.6","4,771","9,879.4","2,559","3,304.3","7,651","10,760","13,893.9","3,846","4,966.2"
June, Knox,2022,June,-37.8981,145.2642,"2,136.3","3,398","4,038.7","1,939","1,219.0","6,424","9,104","5,723.6","3,327","2,091.7"
June, Kingston,2022,June,-38.0038,145.1106,"1,982.2","3,135","4,429.2","1,845","1,166.6","7,005","9,702","6,134.4","4,054","2,563.3"
June, Indigo,2022,June,-36.2089,146.6609,"1,314.5",228,"2,796.2",191,"1,101.2",485,668,"3,851.3",278,"1,602.8"
June, Hume,2022,June,-37.5971,144.8235,"2,331.1","5,877","4,702.3","3,760","1,491.4","11,855","17,304","6,863.6","6,701","2,657.9"
June, Horsham,2022,June,-36.8279,142.1088,"4,558.0",929,"7,899.2",511,"2,507.2","1,610","2,406","11,804.7",823,"4,037.9"
June, Hobsons Bay,2022,June,-37.8565,144.8365,"2,317.3","2,125","5,213.7","1,027","1,119.9","4,781","6,209","6,770.9","2,789","3,041.4"
June, Hindmarsh,2022,June,-36.0285,141.7125,"2,517.6",142,"4,662.9",81,"1,436.1",263,379,"6,719.5",158,"2,801.3"
June, Hepburn,2022,June,-37.314,144,"1,034.1",172,"2,663.3",181,"1,088.2",443,561,"3,372.7",258,"1,551.1"
June, Greater Shepparton,2022,June,-36.4275,145.3781,"4,745.9","3,266","8,265.4","1,727","2,509.6","5,688","8,264","12,008.7","2,722","3,955.4"
June, Greater Geelong,2022,June,-38.0512,144.3879,"2,492.3","6,901","5,309.9","4,389","1,585.1","14,703","20,183","7,289.0","8,652","3,124.6"
June, Greater Dandenong,2022,June,-38.0022,145.1912,"3,504.0","5,563","7,154.1","2,516","1,584.8","11,358","15,614","9,834.9","6,238","3,929.2"
June, Greater Bendigo,2022,June,-36.7237,144.2902,"3,077.5","3,784","5,981.0","2,225","1,809.6","7,354","10,011","8,141.9","3,964","3,223.9"
June, Golden Plains,2022,June,-37.853,143.839,704.6,179,"1,763.6",177,696.8,448,619,"2,436.7",279,"1,098.3"
June, Glenelg,2022,June,-37.891,141.3503,"3,943.0",791,"6,280.9",413,"2,058.7","1,260","1,834","9,142.2",612,"3,050.7"
June, Glen Eira,2022,June,-37.899,145.041,"1,290.3","1,928","3,439.4","1,197",801.1,"5,139","6,648","4,449.3","3,578","2,394.6"
June, Gannawarra,2022,June,-35.732,143.8004,"2,997.5",319,"5,083.6",161,"1,512.9",541,775,"7,282.4",280,"2,631.1"
June, Frankston,2022,June,-38.1352,145.1745,"3,311.5","4,643","5,935.4","2,607","1,859.4","8,322","11,712","8,353.2","4,350","3,102.5"
June, East Gippsland,2022,June,-37.3568,148.5201,"4,338.4","2,131","7,439.0","1,646","3,351.0","3,654","4,925","10,026.6","1,901","3,870.2"
June, Darebin,2022,June,-37.7396,145.0069,"2,742.0","4,092","6,106.6","1,632","1,093.6","9,113","12,568","8,421.8","5,015","3,360.6"
June, Corangamite,2022,June,-38.2137,143.1285,"1,924.3",307,"3,616.7",163,"1,021.7",577,819,"5,133.6",333,"2,087.3"
June, Colac-Otway,2022,June,-38.4326,143.5582,"3,088.4",689,"5,253.3",393,"1,761.6","1,172","1,583","7,095.6",577,"2,586.3"
June, Central Goldfields,2022,June,-36.9796,143.7055,"3,345.9",449,"6,088.1",339,"2,526.2",817,"1,159","8,636.7",478,"3,562.0"
June, Casey,2022,June,-38.096,145.3139,"1,857.7","7,003","3,684.9","5,004","1,327.4","13,891","19,433","5,155.0","8,059","2,137.8"
June, Cardinia,2022,June,-38.096,145.5677,"1,909.4","2,344","3,690.9","1,581","1,287.9","4,531","6,296","5,128.6","2,428","1,977.8"
June, Campaspe,2022,June,-36.3059,144.716,"3,399.5","1,316","6,486.4",886,"2,288.7","2,511","3,283","8,480.6","1,194","3,084.3"
June, Buloke,2022,June,-35.8476,142.9926,"2,158.3",132,"3,711.6",79,"1,291.7",227,312,"5,101.4",97,"1,586.0"
June, Brimbank,2022,June,-37.7427,144.8055,"2,532.9","4,928","6,107.7","2,756","1,416.5","11,883","16,372","8,415.0","6,647","3,416.5"
June, Boroondara,2022,June,-37.8272,145.0612,"1,066.4","1,796","3,246.7","1,020",605.6,"5,468","7,056","4,189.6","3,676","2,182.7"
June, Benalla,2022,June,-36.5933,146.0311,"4,165.9",603,"6,480.3",362,"2,500.9",938,"1,320","9,119.4",463,"3,198.7"
June, Bayside,2022,June,-37.9392,145.0176,"1,302.0","1,315","3,460.3",762,754.4,"3,495","4,550","4,504.9","2,415","2,391.0"
June, Baw Baw,2022,June,-37.9698,146.1069,"2,968.2","1,764","4,977.3",944,"1,588.4","2,958","4,174","7,023.4","1,518","2,554.3"
June, Bass Coast,2022,June,-38.4854,145.5539,"2,740.1","1,149","5,096.3",879,"2,096.2","2,137","2,963","7,066.2","1,306","3,114.6"
June, Banyule,2022,June,-37.7329,145.0873,"2,112.7","2,669","4,114.6","1,194",945.1,"5,198","7,301","5,779.3","2,739","2,168.1"
June, Ballarat,2022,June,-37.5197,143.7675,"2,767.5","3,205","6,629.8","2,043","1,764.1","7,678","10,472","9,042.4","4,428","3,823.5"
June, Ararat,2022,June,-37.49,142.7959,"4,792.0",568,"7,609.8",265,"2,235.7",902,"1,259","10,621.6",448,"3,779.6"
June, Alpine,2022,June,-36.835,146.9875,"1,706.5",226,"2,876.9",141,"1,064.7",381,546,"4,122.8",204,"1,540.4"
